playerID,awardID,yearID,lgID,tie,notes,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,GoldGlove,MVP
maddoga01,"Gold Glove",1975,NL,NULL,OF,8639,maddoga01,,,1949,9,1,USA,OH,Cincinnati,NULL,NULL,NULL,NULL,NULL,NULL,Garry,Maddox,NULL,"Garry Lee","Secretary of Defense",184,75.0,R,R,1972-04-25,1986-04-20,"Harbor JC",maddoga01,maddoga01,maddg001,maddoga01,maddoga01,8,0
yastrca01,"Gold Glove",1963,AL,NULL,OF,15607,yastrca01,,yastrca01h,1939,8,22,USA,NY,Southampton,NULL,NULL,NULL,NULL,NULL,NULL,Carl,Yastrzemski,NULL,"Carl Michael",Yaz,182,71.0,L,R,1961-04-11,1983-10-02,,yastrca01,yastrca01,yastc101,yastrca01,yastrca01,7,1
walkela01,"Gold Glove",1992,NL,NULL,OF,14736,walkela01,,,1966,12,1,CAN,BC,"Maple Ridge",NULL,NULL,NULL,NULL,NULL,NULL,Larry,Walker,NULL,"Larry Kenneth Robert",NULL,215,75.0,L,R,1989-08-16,2005-10-02,,walkela01,walkela01,walkl001,walkela01,walkela01,7,1
floodcu01,"Gold Glove",1963,NL,NULL,OF,4529,floodcu01,,floodcu01h,1938,1,18,USA,TX,Houston,1997,1,20,USA,CA,"Los Angeles",Curt,Flood,NULL,"Curtis Charles",NULL,165,69.0,R,R,1956-09-09,1971-04-25,,floodcu01,floodcu01,flooc101,floodcu01,floodcu01,7,0
whitebi03,"Gold Glove",1960,NL,NULL,1B,15090,whitebi03,,,1934,1,28,USA,FL,Lakewood,NULL,NULL,NULL,NULL,NULL,NULL,Bill,White,NULL,"William De Kova",NULL,195,72.0,L,L,1956-05-07,1969-09-24,,whitebi03,whitebi03,whitb105,whitebi03,whitebi03,7,0
powervi01,"Gold Glove",1958,AL,NULL,1B,11432,powervi01,,powervi01h,1927,11,1,P.R.,,Arecibo,2005,11,29,P.R.,,Bayamon,Vic,Power,"born Victor Felipe Pellot (Pove)","Victor Pellot (Pove)",NULL,195,71.0,R,R,1954-04-13,1965-10-03,,powervi01,powervi01,powev101,powervi01,powervi01,7,0
boonebo01,"Gold Glove",1978,NL,NULL,C,1300,boonebo01,boonebo01m,boonebo01h,1947,11,19,USA,CA,"San Diego",NULL,NULL,NULL,NULL,NULL,NULL,Bob,Boone,NULL,"Robert Raymond",NULL,202,74.0,R,R,1972-09-10,1990-09-27,Stanford,boonebo01,boonebo01,boonb001,boonebo01,boonebo01,7,0
winfida01,"Gold Glove",1979,NL,NULL,OF,15389,winfida01,,winfida01h,1951,10,3,USA,MN,"St. Paul",NULL,NULL,NULL,NULL,NULL,NULL,Dave,Winfield,NULL,"David Mark",NULL,220,78.0,R,R,1973-06-19,1995-10-01,Minnesota,winfida01,winfida01,winfd001,winfida01,winfida01,7,0
langsma01,"Gold Glove",1987,AL,NULL,P,7943,langsma01,,langsma01h,1960,8,20,USA,CA,"San Diego",NULL,NULL,NULL,NULL,NULL,NULL,Mark,Langston,NULL,"Mark Edward",NULL,190,74.0,R,L,1984-04-07,1999-09-24,,langsma01,langsma01,langm001,langsma01,langsma01,7,0
mussimi01,"Gold Glove",1996,AL,NULL,P,10222,mussimi01,,,1968,12,8,USA,PA,Williamsport,NULL,NULL,NULL,NULL,NULL,NULL,Mike,Mussina,NULL,"Michael Cole",Moose,185,74.0,L,R,1991-08-04,2008-09-28,Stanford,mussimi01,mussimi01,mussm001,mussimi01,mussimi01,7,0
rolensc01,"Rookie of the Year",1997,NL,NULL,,12172,rolensc01,,,1975,4,4,USA,IN,Evansville,NULL,NULL,NULL,NULL,NULL,NULL,Scott,Rolen,NULL,"Scott Bruce",NULL,240,76.0,R,R,1996-08-01,NULL,,rolensc01,rolensc01,roles001,rolensc01,rolensc01,7,0
whitede03,"Gold Glove",1988,AL,NULL,OF,15096,whitede03,,whitede03h,1962,12,29,Jamaica,,Kingston,NULL,NULL,NULL,NULL,NULL,NULL,Devon,White,NULL,"Devon Markes",Devo,182,74.0,B,R,1985-09-02,2001-10-05,,whitede03,whitede03,whitd001,whitede03,whitede03,7,0
chaveer01,"Gold Glove",2001,AL,NULL,3B,2368,chaveer01,,,1977,12,7,USA,CA,"Los Angeles",NULL,NULL,NULL,NULL,NULL,NULL,Eric,Chavez,NULL,NULL,NULL,204,72.0,L,R,1998-09-08,NULL,,chaveer01,chaveer01,chave001,chaveer01,chaveer01,6,0
parkewe01,"Gold Glove",1967,NL,NULL,1B,10888,parkewe01,,,1939,11,13,USA,IL,Evanston,NULL,NULL,NULL,NULL,NULL,NULL,Wes,Parker,NULL,"Maurice Wesley","Mr. Steady",180,73.0,B,L,1964-04-19,1972-10-01,,parkewe01,parkewe01,parkw101,parkewe01,parkewe01,6,0
snowjt01,"Gold Glove",1995,AL,NULL,1B,13330,snowjt01,,,1968,2,26,USA,CA,"Long Beach",NULL,NULL,NULL,NULL,NULL,NULL,J.T.,Snow,NULL,"Jack Thomas",NULL,202,74.0,L,L,1992-09-20,2008-09-27,Arizona,snowj01,snowj.01,snowj001,snowj01,snowj.01,6,0
bellbu01,"Gold Glove",1979,AL,NULL,3B,872,bellbu01,bellbu01m,bellbu01h,1951,8,27,USA,PA,Pittsburgh,NULL,NULL,NULL,NULL,NULL,NULL,Buddy,Bell,NULL,"David Gus",NULL,185,74.0,R,R,1972-04-15,1989-06-17,"Miami (FL)",bellbu01,bellbu01,bellb001,bellbu01,bellbu01,6,0
sundbji01,"Gold Glove",1976,AL,NULL,C,13848,sundbji01,,sundbji01h,1951,5,18,USA,IL,Galesburg,NULL,NULL,NULL,NULL,NULL,NULL,Jim,Sundberg,NULL,"James Howard",NULL,195,72.0,R,R,1974-04-04,1989-09-24,Iowa,sundbji01,sundbji01,sundj001,sundbji01,sundbji01,6,0
murphdw01,"Gold Glove",1980,AL,NULL,OF,10167,murphdw01,,,1955,3,18,USA,CA,Merced,NULL,NULL,NULL,NULL,NULL,NULL,Dwayne,Murphy,NULL,"Dwayne Keith",NULL,185,73.0,L,R,1978-04-08,1989-10-01,,murphdw01,murphdw01,murpd002,murphdw01,murphdw01,6,0
puckeki01,"Gold Glove",1986,AL,NULL,OF,11497,puckeki01,,puckeki01h,1960,3,14,USA,IL,Chicago,2006,3,6,USA,AZ,Phoenix,Kirby,Puckett,NULL,Kirby,NULL,210,68.0,R,R,1984-05-08,1995-09-28,"Triton (IL) CC",puckeki01,puckeki01,puckk001,puckeki01,puckeki01,6,0
venturo01,"Gold Glove",1991,AL,NULL,3B,14594,venturo01,,,1967,7,14,USA,CA,"Santa Maria",NULL,NULL,NULL,NULL,NULL,NULL,Robin,Ventura,NULL,"Robin Mark",NULL,198,73.0,L,R,1989-09-12,2004-10-02,"Oklahoma State",venturo01,venturo01,ventr001,venturo01,venturo01,6,0
morgajo02,"AS MVP",1972,ML,NULL,,9973,morgajo02,,morgajo02h,1943,9,19,USA,TX,Bonham,NULL,NULL,NULL,NULL,NULL,NULL,Joe,Morgan,NULL,"Joe Leonard",NULL,160,67.0,L,R,1963-09-21,1984-09-30,,morgajo02,morgajo02,morgj001,morgajo02,morgajo02,5,2
murphda05,"Gold Glove",1982,NL,NULL,OF,10159,murphda05,,murphda05h,1956,3,12,USA,OR,Portland,NULL,NULL,NULL,NULL,NULL,NULL,Dale,Murphy,NULL,"Dale Bryan","The Murph",215,77.0,R,R,1976-09-13,1993-05-21,"Brigham Young",murphda05,murphda05,murpd001,murphda05,murphda05,5,2
boyerke01,"Gold Glove",1958,NL,NULL,3B,1411,boyerke01,boyerke01m,boyerke01h,1931,5,20,USA,MO,Liberty,1982,9,7,USA,MO,St.Louis,Ken,Boyer,NULL,"Kenton Lloyd",NULL,200,74.0,R,R,1955-04-12,1969-08-09,,boyerke01,boyerke01,boyek101,boyerke01,boyerke01,5,1
rogerke01,"Gold Glove",2000,AL,NULL,P,12149,rogerke01,,,1964,11,10,USA,GA,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,Kenny,Rogers,NULL,"Kenneth Scott","the Gambler",205,73.0,L,L,1989-04-06,2008-09-14,,rogerke01,rogerke01,rogek001,rogerke01,rogerke01,5,0
landiji01,"Gold Glove",1960,AL,NULL,CF,7915,landiji01,,,1934,3,9,USA,CA,Fresno,NULL,NULL,NULL,NULL,NULL,NULL,Jim,Landis,NULL,"James Henry",NULL,180,73.0,R,R,1957-04-16,1967-08-27,,landiji01,landiji01,landj103,landiji01,landiji01,5,0
raderdo02,"Gold Glove",1970,NL,NULL,3B,11585,raderdo02,raderdo02m,,1944,7,30,USA,IL,Chicago,NULL,NULL,NULL,NULL,NULL,NULL,Doug,Rader,NULL,"Douglas Lee","Rojo,The Red Rooster",215,75.0,R,R,1967-07-31,1977-10-02,,raderdo02,raderdo02,raded103,raderdo02,raderdo02,5,0
guidrro01,"Cy Young",1978,AL,NULL,,5575,guidrro01,,guidrro01h,1950,8,28,USA,LA,Lafayette,NULL,NULL,NULL,NULL,NULL,NULL,Ron,Guidry,NULL,"Ronald Ames","Louisiana Lightning,Gator",162,71.0,L,L,1975-07-27,1988-09-27,"SW Louisiana St",guidrro01,guidrro01,guidr001,guidrro01,guidrro01,5,0
gwynnto01,"Gold Glove",1986,NL,NULL,OF,5623,gwynnto01,,gwynnto01h,1960,5,9,USA,CA,"Los Angeles",NULL,NULL,NULL,NULL,NULL,NULL,Tony,Gwynn,NULL,"Anthony Keith",NULL,199,71.0,L,L,1982-07-19,2001-10-07,"San Diego State",gwynnto01,gwynnto01,gwynt001,gwynnto01,gwynnto01,5,0
pettiga01,"Gold Glove",1985,AL,NULL,OF,11157,pettiga01,,,1958,4,3,USA,CA,Oakland,NULL,NULL,NULL,NULL,NULL,NULL,Gary,Pettis,NULL,"Gary George",NULL,165,73.0,B,R,1982-09-13,1992-09-10,"Laney JC",pettiga01,pettiga01,pettg001,pettiga01,pettiga01,5,0
finlest01,"Gold Glove",1995,NL,NULL,OF,4416,finlest01,,,1965,3,12,USA,TN,"Union City",NULL,NULL,NULL,NULL,NULL,NULL,Steve,Finley,NULL,"Steven Allen",NULL,180,74.0,L,L,1989-04-03,2007-06-03,"Southern Illinois",finlest01,finlest01,finls001,finlest01,finlest01,5,0
